[2023-05-20 17:24:58,769][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-20 17:26:28,969][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 19:21:50,930][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 19:40:08,729][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 19:42:03,023][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 19:42:59,474][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 19:44:34,517][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:00:42,421][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:02:05,757][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:03:41,737][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:05:22,400][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:08:33,165][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:16:41,192][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:17:16,934][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:17:44,625][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:18:11,191][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:18:29,723][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:20:19,436][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:21:12,721][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:23:02,918][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:23:54,650][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:25:03,881][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:25:54,663][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:26:38,260][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:27:01,772][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:27:39,508][train.py][line:37][INFO] start training APFNet-ori-5_18-train_on_GTOT, stage:3 challenge: ALL
[2023-05-21 20:28:03,292][train.py][line:79][INFO] Epoch:  1 Mean Precision:0.222, Epoch Time:23.782
[2023-05-21 20:28:25,135][train.py][line:79][INFO] Epoch:  2 Mean Precision:0.213, Epoch Time:21.842
[2023-05-21 20:28:46,814][train.py][line:79][INFO] Epoch:  3 Mean Precision:0.228, Epoch Time:21.677
